ID,Sent1,Sent2,Score,Dataset,Domain
5291,"Action is needed quickly, which is why we decided to include this item on the agenda.",There is urgency and that is why we have decided to put this issue on the agenda.,4.8,STS2012-train,SMTeuroparl
5292,The lesson for this Parliament this morning must be that we have to conclude that maritime laws throughout the world are in a state of shambles and we have to begin the process of putting them right.,"The lesson for us within this House in its debate this morning is that we are forced to conclude that the laws at sea are, in the world, in a state of chaos, and that we must get down to work to bring order.",4.2,STS2012-train,SMTeuroparl
5293,Either we are in a club or we are out of it and it is particularly important that we accept this.,"Either we are part of the club, or we are not and we must therefore we abide by this decision.",4.6,STS2012-train,SMTeuroparl
5294,The right of a government arbitrarily to set aside its own constitution is the defining characteristic of a tyranny.,The right to a government to remove arbitrarily its constitution is defining characteristic of a tyranny.,5.0,STS2012-train,SMTeuroparl
5295,"After all, it is by no means certain that the proposed definition of equitable price is better than any other, because the various definitions that are currently in use in the Member States are all perfectly satisfactory.","Indeed, it is not at all convinced that the definition of fair price which is proposed is better than another, because the different definitions used in the Member States are sufficient all amply.",4.8,STS2012-train,SMTeuroparl
5296,"The labelling of beef that was agreed on, which is a minimum form of labelling and only came into force two and a half months ago, does not make it possible for the origin of animals to be adequately traced, and we were very slow to ban specified risk materials.","The labelling of beef which has been decided, which is a minimum labelling and which entered into force for two and a half months, does not allow for properly tracing the origin of animals, and we have belatedly banned specified risk material.",5.0,STS2012-train,SMTeuroparl
5297,"He will stand trial on 8 January on charges of having attended a meeting of the Tunisian opposition in France, which he denies.","It happening in trial on 8 January. he is accused of taking part in a meeting of Tunisian opponents in France, what to do deny it.",3.8,STS2012-train,SMTeuroparl
5298,"When we are faced with a potential risk, it is important to apply the precautionary principle.","When we are confronted with a potential risk, it is important to put the precautionary principle into practice.",4.8,STS2012-train,SMTeuroparl
5299,Question No 6 by (H-0886/00):,Question No 6 by (H-0886/00):,5.0,STS2012-train,SMTeuroparl
5300,As long ago as 1996 the European Parliament came out in favour of a ban on the use of meat-and-bone meal throughout the European Union in accordance with the precautionary principle - if only.,"In 1996, the European Parliament is in favour of a ban on the use in the European Union, in accordance with the precautionary principle - if only they had.",3.8,STS2012-train,SMTeuroparl
5301,That made them heavily dependent on loans.,An evolution which made them strongly dependent on the borrowed capital.,4.6,STS2012-train,SMTeuroparl
5302,"Mr President, we took a great deal of care over preparing the Karamanou report in the Committee on Citizens' Freedoms and Rights, Justice and Home Affairs.","Mr President, the Committee on Citizens' Freedoms and Rights, Justice and internal affairs has prepared with great care the Karamanou report.",4.6,STS2012-train,SMTeuroparl
5303,The debate is closed.,The debate is closed.,5.0,STS2012-train,SMTeuroparl
5304,I also voted against a text which calls for the incorporation of the Charter of Fundamental Rights into the eventual Treaty of Nice.,"I also voted against a text which calls for the incorporation of the Charter of Fundamental Rights in the future Treaty, which will be adopted in Nice.",4.4,STS2012-train,SMTeuroparl
5305,"You do not even intend to incorporate it into the Treaty, evidence indeed that this text, this exercise was always destined to be laid aside.","You do not even want to incorporate it into the Treaty, which shows that this text was to be put to one side.",4.8,STS2012-train,SMTeuroparl
5306,"Reiterating the calls made by the European Parliament in its resolution of 16 March 2000, what initiatives does the Presidency of the European Council propose to take with a view to playing a more active role so as to guarantee the full and complete application of the UN peace plan?","As the European Parliament called for in its resolution of 16 March 2000, that these initiatives is the Presidency of the European Council intend to take to play a more active role in order to ensure the full implementation of the UN Peace Plan?",4.4,STS2012-train,SMTeuroparl
5307,All those who are at present engaged in illicit work would obtain work with decent social conditions.,All those which currently work with the black would obtain an employment under decent social conditions.,4.2,STS2012-train,SMTeuroparl
5308,"As there is still a lot of uncertainty, we must know what the scientific facts are and what action must be taken.","We need to know today, since we are always in uncertainty, what are the scientific data, what measures are to be taken.",4.2,STS2012-train,SMTeuroparl
5309,". (ES) Mr President, enlargement is essential for the construction of a strong and united European continent.","- (ES) Mr President, enlargement is essential for the construction of a strong and united Europe.",5.0,STS2012-train,SMTeuroparl
5310,"Action is needed quickly, which is why we decided to include this item on the agenda.",There is urgency and therefore we decided to put this point at the order of business.,4.6,STS2012-train,SMTeuroparl
5311,"The resolution on Nice, voted today, does not reflect this.","The resolution on the Nice Summit, which has just been passed, does not reflect the.",4.2,STS2012-train,SMTeuroparl
5312,"The House had also fought, however, for the reduction of the funds available for innovative measures to be offset by means of resources from the flexibility instrument, a demand which is recorded in a declaration on the financial perspective in the Interinstitutional Agreement.","This Parliament has, however, also fought for this reduction in the funds allocated to the innovative actions should be compensated for by the use of flexible framework, set out in a statement on the financial perspective.",3.8,STS2012-train,SMTeuroparl
5313,Approval of the Minutes of the previous sitting,Approval of the Minutes of the previous sitting.,5.0,STS2012-train,SMTeuroparl
5314,"That was changed in the face of criticism, especially from Ireland and France, and a different spin has now been put on it by the British Chancellor of the Exchequer: it is now being portrayed as a user charge for all, including British lorry drivers.","Faced with criticisms, particularly those of Ireland and France, the British Chancellor of the Exchequer has given a new interpretation: it is now a matter of resources for all users, including the drivers of heavy goods vehicles.",4.6,STS2012-train,SMTeuroparl
5315,"He will stand trial on 8 January on charges of having attended a meeting of the Tunisian opposition in France, which he denies.","It crosses the 8 January of this year. it is to have a Union of Tunisian opponents in France, which Moreover it.",3.6,STS2012-train,SMTeuroparl
5316,"If we define a clear, binding framework for the Member States, then there should be a longer evaluation period for the various support systems required to satisfy these requirements.","If we create a clear framework and binding on the Member States, the various systems to meet these requirements should have a longer period test.",4.8,STS2012-train,SMTeuroparl
5317,"And I am telling you loud and clear: Kostunica must be given his chance here and I therefore hope that he will give amnesty in the next couple of weeks or months, but meanwhile, I do want the introduction of those two new budget lines, democratisation and reconstruction, to be accompanied by political conditions, both from a political and budgetary perspective.","And I say to you very clearly: we need to give its opportunity to Koitunica, and I therefore hope that he will ensure an amnesty over the coming weeks or months; but meanwhile, I hope, however, that, in political terms and in budgetary terms, political conditions are linked to the introduction of these two new budget lines, namely democratisation and reconstruction.",5.0,STS2012-train,SMTeuroparl
5318,The aim of the annual review is to identify such potential improvements.,The annual report is designed to identify such potential improvements.,5.0,STS2012-train,SMTeuroparl
5319,"Action is needed quickly, which is why we decided to include this item on the agenda.",It is urgent and that is why we have decided to put this item on the agenda.,5.0,STS2012-train,SMTeuroparl
5320,"One could indeed wish for more and for improvement, but I honestly believe that we have made a good start.","We can actually want more and better, but I think quite honestly that it is a good start.",4.8,STS2012-train,SMTeuroparl
5321,(Parliament accepted the oral amendment),(Parliament accepted the oral amendment),5.0,STS2012-train,SMTeuroparl
5322,"- My party has serious reservations about Community law applying to the sale of consumer products, as against applying the concept of mutual recognition of standards.","My party serious reservations about the regulation of the sale of consumption by means of Community legislation, as it has reservations about the concept of mutual recognition of standards.",4.8,STS2012-train,SMTeuroparl
5323,He saw a red rose.,He drove a rose colored car.,0.8,STS2012-train,SMTeuroparl
5324,measure the depth of a body of water,any large deep body of water.,0.8,STS2013-gold,OnWN
5325,someone who plays a principal role,an actor who plays a principal role.,3.0,STS2013-gold,OnWN
5326,(cause to) come to rest on a surface,reach or come to rest.,3.8,STS2013-gold,OnWN
5327,the act of advocating or promoting something,the act of choosing or selecting.,2.2,STS2013-gold,OnWN
5328,alphanumeric sequence used for identification,a numeral or string of numerals that is used for identification.,3.8,STS2013-gold,OnWN
5329,a state of being elevated or raised,the event of something being raised upward.,2.6,STS2013-gold,OnWN
5330,the act of lifting something,the act of climbing something.,0.6,STS2013-gold,OnWN
5331,Bind or join (as if) with cement.,"shine intensely, as if with heat.",0.2,STS2013-gold,OnWN
5332,(finally) do something or be somewhere,cause something to pass or lead somewhere.,1.0,STS2013-gold,OnWN
5333,"a point, as the op part of a compass arrow",a V-shaped mark at one end of an arrow pointer.,3.2,STS2013-gold,OnWN
5334,the act of preserving or protecting something,the act of decreasing or reducing something.,0.4,STS2013-gold,OnWN
5335,"coerce by violence, fill with terror",coerce by violence or with threats.,4.0,STS2013-gold,OnWN
5336,"cause to move, cause to be moved",cease to operate or cause to cease operating.,1.6,STS2013-gold,OnWN
5337,the uppermost area of region of something,the act of decreasing or reducing something.,0.0,STS2013-gold,OnWN
5338,the foremost part of something,have flavor; taste of something.,0.0,STS2013-gold,OnWN
5339,behave or move in a certain manner,behave in a certain manner.,4.4,STS2013-gold,OnWN
5340,a reproduction or physical representation of something,a visual representation of something.,3.0,STS2013-gold,OnWN
5341,a type of subdivision of a larger literary composition,a specialized division of a large organization.,1.6,STS2013-gold,OnWN
5342,the person who is assigned to a non-elective position,a person who is appointed to a job or position.,4.6,STS2013-gold,OnWN
5343,Advance; contribute to the progress or growth of.,contribute to the progress or growth of.,4.2,STS2013-gold,OnWN
5344,a narrow channel or span of a sea or ocean,a narrow channel of the sea joining two larger bodies of water.,3.4,STS2013-gold,OnWN
5345,the act of preserving or protecting something,the act of cracking something.,0.2,STS2013-gold,OnWN
5346,"Cut into, possibly creating something new.",the act of cracking something.,0.6,STS2013-gold,OnWN
5347,the act of choosing among alternatives,the act of changing one thing for another thing.,2.4,STS2013-gold,OnWN
5348,The act of testing something.,the act of breaking something.,0.8,STS2013-gold,OnWN
5349,the state of being in contact,the state of being connected.,4.0,STS2013-gold,OnWN
5350,giving a reference or citation of something,"change the nature, purpose, or function of something.",0.0,STS2013-gold,OnWN
5351,Sell something to or obtain something from by underhanded activity.,sell something to or obtain something from by energetic and especially underhanded activity.,3.8,STS2013-gold,OnWN
5352,the act of determining or discovering the position of an object,a surface forming part of the outside of an object.,0.2,STS2013-gold,OnWN
5353,"a feeling or state of contentment, relief",a state of being relaxed and feeling no pain.,4.0,STS2013-gold,OnWN
5354,Physically extend or spread outward from a center or focus or inward towards a center; physically spread from a start point.,extend or spread outward from a center or focus or inward towards a center.,4.2,STS2013-gold,OnWN
5355,place into the ground for growing,place or put on the ground.,2.0,STS2013-gold,OnWN
5356,an approximated amount of something,a visual representation of something.,0.8,STS2013-gold,OnWN
5357,stimulate sexually; get sexual gratification through self-stimulation,get sexual gratification through self-stimulation.,4.4,STS2013-gold,OnWN
5358,the act of acknowledging the truth of something,the act of projecting out from something.,0.8,STS2013-gold,OnWN
5359,Express audibly; utter sounds (not necessarily words); indicate.,express audibly; utter sounds (not necessarily words).,4.2,STS2013-gold,OnWN
5360,The state of being suspected.,the state of being excluded.,0.6,STS2013-gold,OnWN
5361,The act of providing approval and support.,the act of having and controlling property.,0.0,STS2013-gold,OnWN
5362,Relieve someone from work by taking a turn; take turns working.,relieve (someone) from work by taking a turn.,4.8,STS2013-gold,OnWN
5363,a side or surface of something,a brief experience of something.,0.0,STS2013-gold,OnWN
5364,utter in a certain way,appear in a certain way.,1.4,STS2013-gold,OnWN
5365,"the act of turning, rotating an object",turning or twisting around (in place).,3.0,STS2013-gold,OnWN
5366,(Cause to) increase in extent or intensity.,increase in extent or intensity.,4.0,STS2013-gold,OnWN
5367,the legal state of owing money,the verbal act of offering.,0.4,STS2013-gold,OnWN
5368,"make sense of, give meaning to",make sense of; assign a meaning to.,4.6,STS2013-gold,OnWN
5369,The act of beginning something new.,the act of hiring something or someone.,1.0,STS2013-gold,OnWN
5370,printed version of electronic data from a computer,(computer science) matter that is held in a computer and is typed or printed on paper.,4.2,STS2013-gold,OnWN
5371,Limit in quantity or quality.,limit in quality or quantity.,5.0,STS2013-gold,OnWN
5372,search (as the bottom of a body of water) for something,search (as the bottom of a body of water) for something valuable or lost.,3.5,STS2013-gold,OnWN
5373,the act of surrendering or losing something of value,the act of decreasing or reducing something.,2.25,STS2013-gold,OnWN
5374,The physical act of following in an effort to overtake or capture.,the act of pursuing in an effort to overtake or capture.,4.8,STS2013-gold,OnWN
5375,"Expel or eject (saliva, phlegm, sputum, or vomit) from the mouth.",expel or eject (saliva or phlegm or sputum) from the mouth.,4.4,STS2013-gold,OnWN
5376,the natural progression or development of something,the act or means of getting rid of something.,0.0,STS2013-gold,OnWN
5377,the act of lifting something,the act of describing something.,0.0,STS2013-gold,OnWN
5378,an explanation or alibi for something,an opinion formed by judging something.,0.0,STS2013-gold,OnWN
5379,"recover, return to former state",return to a former condition.,4.8,STS2013-gold,OnWN
5380,Act without permission or with too much confidence.,take liberties or act with too much confidence.,3.6,STS2013-gold,OnWN
5381,the act of putting a preparation on something.,the act of testing something.,0.75,STS2013-gold,OnWN
5382,become the owner or posessor of something,make a film or photograph of something.,0.0,STS2013-gold,OnWN
5383,"the act of moving, turning something",the act of rejecting something.,0.4,STS2013-gold,OnWN
5384,"the act of confining, preventing or blocking something",the act of testing something.,0.4,STS2013-gold,OnWN
5385,the act of putting a preparation on something.,the act of decreasing or reducing something.,0.4,STS2013-gold,OnWN
5386,the act or means of getting rid of something.,the physical position of something.,0.4,STS2013-gold,OnWN
5387,the shape of a wave in a given period of time,the popular taste at a given time.,0.4,STS2013-gold,OnWN
5388,a distinctive style of clothing,an intuitive understanding of something.,0.0,STS2013-gold,OnWN
5389,cause to have an odor,cause to become alive again.,0.0,STS2013-gold,OnWN
5390,fall or cause to fall,let or cause to fall in drops.,3.6,STS2013-gold,OnWN
5391,"the act of allowing, bestowing something",the act of testing something.,0.6,STS2013-gold,OnWN
5392,keep from being seen or perceived by others,hold back; keep from being perceived by others.,3.8,STS2013-gold,OnWN
5393,a document authorizing another to vote on one's behalf,a power of attorney document given by shareholders of a corporation authorizing a specific vote on their behalf at a corporate meeting.,3.4,STS2013-gold,OnWN
5394,the act of lifting something,the act of retaining something.,0.8,STS2013-gold,OnWN
5395,"the act of combining, blending, integrating",the act of chipping something.,0.8,STS2013-gold,OnWN
5396,smell by inhaling through the nose,perceive by inhaling through the nose.,4.5,STS2013-gold,OnWN
5397,the conclusion of a communication,the intended meaning of a communication.,0.8,STS2013-gold,OnWN
5398,"(cause to) adopt a different system, value, or viewpoint",cause to adopt a new or different faith.,3.8,STS2013-gold,OnWN
5399,(cause to) become less intense or strict,cause to become violent or angry.,1.2,STS2013-gold,OnWN
5400,the act of choosing or selecting,the act of losing someone or something.,0.2,STS2013-gold,OnWN
5401,"narrative or account, intended as factual reporting",a short account of the news.,4.0,STS2013-gold,OnWN
5402,Engrave by means of dots.,engrave by means of dots and flicks.,3.8,STS2013-gold,OnWN
5403,the act of shoving something away,the act of raising something.,1.2,STS2013-gold,OnWN
5404,decide the amount to be paid on an insurance claim,decide how much is to be paid on an insurance claim.,4.6,STS2013-gold,OnWN
5405,make noise like bad engine,make a noise typical of an engine lacking lubricants.,3.8,STS2013-gold,OnWN
5406,be in direct physical contact with,be in direct physical contact with; make contact.,4.8,STS2013-gold,OnWN
5407,the quality of being dependable,the quality of being of practical use.,1.0,STS2013-gold,OnWN
5408,"Arrange a programme for an individual, group, or entity.",arrange a program of or for.,3.4,STS2013-gold,OnWN
5409,express a certain idea when rendering a play or music,give an interpretation or rendition of.,1.4,STS2013-gold,OnWN
5410,the quality of being dependable,the act of dwelling in a place.,0.0,STS2013-gold,OnWN
5411,a store or supply of something,a store or supply of something (especially of food or clothing or arms).,3.8,STS2013-gold,OnWN
5412,suggest or prescribe a solution,suggest the necessity of an intervention; in medicine.,2.6,STS2013-gold,OnWN
5413,person who manages money in board games,a person who is in charge.,0.6,STS2013-gold,OnWN
5414,the act of rubbing a surface,the act of dragging (pulling with force).,0.6,STS2013-gold,OnWN
5415,The act of dividing or disconnecting.,the act of expelling or projecting or ejecting.,0.6,STS2013-gold,OnWN
5416,the act of validating the authenticity of something,the act of concealing the identity of something by modifying its appearance.,1.2,STS2013-gold,OnWN
5417,the act of putting a preparation on something.,the act of forcing out someone or something.,0.4,STS2013-gold,OnWN
5418,the act of preserving or protecting something,the act of winding or twisting.,0.0,STS2013-gold,OnWN
5419,"Oppose or approach, as in hostility or competition","oppose, as in hostility or a competition.",4.4,STS2013-gold,OnWN
5420,Travel (as if) through water.,move as if through a sieve.,1.4,STS2013-gold,OnWN
5421,"administer or bestow, as portions","administer or bestow, as in small portions.",4.0,STS2013-gold,OnWN
5422,Form a spiral or move in a spiral course.,to wind or move in a spiral course.,4.8,STS2013-gold,OnWN
5423,Induce into action by using one's charm; provoke to do something.,induce into action by using one's charm.,4.0,STS2013-gold,OnWN
5424,connected underground tunnels used by rabbits,a series of connected underground tunnels occupied by rabbits.,4.6,STS2013-gold,OnWN
5425,hold or embrace in a tight grip,hold in a tight grasp.,4.6,STS2013-gold,OnWN
5426,the shape of a wave in a given period of time,the shape of a wave illustrated graphically by plotting the values of the period quantity against time.,2.6,STS2013-gold,OnWN
5427,the foremost part of something,the lower part of anything.,0.2,STS2013-gold,OnWN
5428,The act of controlling by restraining someone or something.,the act of liberating someone or something.,0.2,STS2013-gold,OnWN
5429,the act of planning or deliberating,the action of putting something into operation.,2.0,STS2013-gold,OnWN
5430,be located at or on top of something,cause (someone) to undergo something.,0.0,STS2013-gold,OnWN
5431,the scent or odor of something,the act of decreasing or reducing something.,0.0,STS2013-gold,OnWN
5432,"(Cause to) make a dry crackling sound, possibly by mixing.",make a dry crackling sound.,3.4,STS2013-gold,OnWN
5433,"fill, attach, fix with, or as if with gum","cover, fill, fix or smear with or as if with gum.",4.2,STS2013-gold,OnWN
5434,The act of talking about the features of something.,the act of sharing in the activities of a group.,1.2,STS2013-gold,OnWN
5435,the act of providing help or aid to someone,the act of applying paint to a surface.,0.2,STS2013-gold,OnWN
5436,"a natural growth of plants, usually trees",a growth of similar plants (usually trees) in a particular area.,4.2,STS2013-gold,OnWN
5437,the act of planning or deliberating,the act of cracking something.,0.2,STS2013-gold,OnWN
5438,the physical expanse of the universe,the physical position of something.,0.4,STS2013-gold,OnWN
5439,a boundary area or edge of something,a boundary marking the extremities of something.,4.2,STS2013-gold,OnWN
5440,reach a destination or goal,reach a destination; arrive by movement or progress.,3.4,STS2013-gold,OnWN
5441,the act of preserving or protecting something,the act of expelling or projecting or ejecting.,0.4,STS2013-gold,OnWN
5442,to argue or plead in favor of,argue or speak in defense of.,4.0,STS2013-gold,OnWN
5443,"support, sustain, bear, or be responsible for",cause to happen or be responsible for.,2.2,STS2013-gold,OnWN
5444,take or capture by force or authority,to put down by force or authority.,2.8,STS2013-gold,OnWN
5445,(cause to) lengthen or stretch out in space,cause to march or go at a marching pace.,0.6,STS2013-gold,OnWN
5446,"the act of rending, tearing, ripping",the act of reducing the amount or number.,0.75,STS2013-gold,OnWN
5447,Equip with armed and armored motor vehicles (as of an army).,equip with armed and armored motor vehicles.,4.8,STS2013-gold,OnWN
5448,(the content of) a communication.,the last section of a communication.,2.8,STS2013-gold,OnWN
5449,The act of changing course or twisting oneself.,the act of indicating or pointing out by name.,0.0,STS2013-gold,OnWN
5450,the act of pressing together firmly,the act of disturbing the mind or body.,0.0,STS2013-gold,OnWN
5451,The state or condition of feeling or being rushed.,the condition of being motivated.,0.6,STS2013-gold,OnWN
5452,"move to a lower position, terminate something",lower the pitch of (musical notes).,0.4,STS2013-gold,OnWN
5453,the act of pulling a load,the act of making a proposal.,0.4,STS2013-gold,OnWN
5454,(cause to) appear suddenly or briefly,break open or apart suddenly and forcefully.,0.4,STS2013-gold,OnWN
5455,The human act of making something new.,the speech act of making something evident.,0.8,STS2013-gold,OnWN
5456,make or become more acute or intense,make ready for action or use.,1.0,STS2013-gold,OnWN
5457,the activity of breaking or splintering something,the act of breaking something.,4.0,STS2013-gold,OnWN
5458,the extreme endpoint of something,get the meaning of something.,1.6,STS2013-gold,OnWN
5459,Perform an action with an intent to deceive.,make a copy of with the intent to deceive.,2.4,STS2013-gold,OnWN
5460,any cause or source of great suffering,any affliction that causes great suffering.,4.6,STS2013-gold,OnWN
5461,"the act of moving, turning something",the act of drawing or hauling something.,2.2,STS2013-gold,OnWN
5462,To remain emotionally or intellectually attached without necessary physical contact.,to remain emotionally or intellectually attached.,3.8,STS2013-gold,OnWN
5463,The state of being pleased with life.,the state of being rejected.,0.4,STS2013-gold,OnWN
5464,the height of the sea's surface,the solid part of the earth's surface.,0.2,STS2013-gold,OnWN
5465,The act of testing something.,the act of starting something.,1.4,STS2013-gold,OnWN
5466,cover with a primer base,cover with a primer; apply a primer to.,4.6,STS2013-gold,OnWN
5467,discover a logical or causal connection; associate,make a logical or causal connection.,3.8,STS2013-gold,OnWN
5468,Rewrite in a different script.,extend in a different direction.,0.2,STS2013-gold,OnWN
5469,"the act of reasoning, cogitation",the act of beginning something new.,0.6,STS2013-gold,OnWN
5470,the act of giving a speech,the act of giving a false appearance.,0.4,STS2013-gold,OnWN
5471,be located at or on top of something,observe or plot the moving path of something.,0.4,STS2013-gold,OnWN
5472,"the act of turning, rotating an object",the act of breaking something.,0.2,STS2013-gold,OnWN
5473,the scent or odor of something,have a disagreement over something.,0.0,STS2013-gold,OnWN
5474,Give an incentive or reason for action.,give an incentive for action.,4.2,STS2013-gold,OnWN
5475,the context or setting in which something takes place,the act of cutting something into parts.,0.2,STS2013-gold,OnWN
5476,tolerate; aceept or take on as a responsibility.,give surety or assume responsibility.,3.4,STS2013-gold,OnWN
5477,move from one location to another,move from one place to another.,5.0,STS2013-gold,OnWN
5478,The act of testing something.,the act of dropping something.,0.4,STS2013-gold,OnWN
5479,Give a performative affectation to (something).,give a performance (of something).,2.8,STS2013-gold,OnWN
5480,a participant who is a beginner in some activity,any new participant in some activity.,4.0,STS2013-gold,OnWN
5481,Turn the paddle or oar.,turn the paddle; in canoeing.,3.8,STS2013-gold,OnWN
5482,the activity of examining or assessing something,the act of drawing or hauling something.,0.2,STS2013-gold,OnWN
5483,the conclusion of a communication,the last section of a communication.,4.6,STS2013-gold,OnWN
5484,An object impairs the respiration of someone or something.,the relation of comprising something.,0.6,STS2013-gold,OnWN
5485,"be a reason, cause, or justification of",serve as a reason or cause or justification of.,4.4,STS2013-gold,OnWN
5486,"retreat or move from a position, relocate",remove from a position or office.,2.6,STS2013-gold,OnWN
5487,The human act of making something new.,the act of starting something for the first time; introducing something new.,3.8,STS2013-gold,OnWN
5488,an instance of halting some motion,the act of starting something.,0.4,STS2013-gold,OnWN
5489,(cause to) gradually become weak,cause to become widely known.,1.0,STS2013-gold,OnWN
5490,"a deficiency, state of disappointment, non-achievement",an event that does not accomplish its intended purpose.,3.2,STS2013-gold,OnWN
5491,"The act of giving up a claim, office, or possession.",the act of giving up (a claim or office or possession etc.).,4.8,STS2013-gold,OnWN
5492,the uppermost area of region of something,exclusive control or possession of something.,0.6,STS2013-gold,OnWN
5493,take something or someone away from somewhere,take something or somebody with oneself somewhere.,3.2,STS2013-gold,OnWN
5494,energy in the form of molecular motion,money in the form of bills or coins.,0.6,STS2013-gold,OnWN
5495,a state of exposure to harm,a state of extreme poverty.,0.0,STS2013-gold,OnWN
5496,the act of putting a preparation on something.,the act of attaching or affixing something.,1.4,STS2013-gold,OnWN
5497,The act of testing something.,the act of rejecting something.,0.4,STS2013-gold,OnWN
5498,have a strong desire to do something,have a wish or desire to know something.,3.2,STS2013-gold,OnWN
5499,take in (mentally or physically),"take (gas, light or heat) into a solution.",1.8,STS2013-gold,OnWN
5500,the act of intentionally omitting something,the act of rending or ripping or splitting something.,0.2,STS2013-gold,OnWN
5501,pronounce with a nasal twang,pronounce with an initial sibilant.,2.4,STS2013-gold,OnWN
5502,an upward slope or incline,an upward slope or grade (as in a road).,4.0,STS2013-gold,OnWN
5503,an allotment or percentage of something,a relatively long narrow piece of something.,1.0,STS2013-gold,OnWN
5504,"Shrivel, wither, or mature imperfectly, as of a flower.",shrivel or wither or mature imperfectly.,3.6,STS2013-gold,OnWN
5505,"Identify, establish location or identity",recognize as being; establish the identity of someone or something.,4.4,STS2013-gold,OnWN
5506,the act of shoving something away,the act of starting something.,0.6,STS2013-gold,OnWN
5507,an explanation or alibi for something,an obligation to pay or do something.,0.0,STS2013-gold,OnWN
5508,incline from a vertical position,to incline or bend from a vertical position.,4.2,STS2013-gold,OnWN
5509,Preserve in a tin or jar.,preserve in a can or tin.,4.4,STS2013-gold,OnWN
5510,behave or move in a certain manner,dress in a certain manner.,1.0,STS2013-gold,OnWN
5511,The act of testing something.,the act of raising something.,0.8,STS2013-gold,OnWN
5512,give a deceptive explanation for; cover up,give a deceptive explanation or excuse for.,4.4,STS2013-gold,OnWN
5513,The principal activity that one does to earn money.,the principal activity in your life that you do to earn money.,4.2,STS2013-gold,OnWN
5514,The act of dividing or disconnecting.,the act of drawing or hauling something.,0.2,STS2013-gold,OnWN
5515,the act of planning or deliberating,the act of becoming more distant.,0.4,STS2013-gold,OnWN
5516,The act of testing something.,the act of retaining something.,0.0,STS2013-gold,OnWN
5517,12th month of the calendar year,the last (12th) month of the year.,4.8,STS2013-gold,OnWN
5518,the activity of examining or assessing something,the activity of protecting someone or something.,0.0,STS2013-gold,OnWN
5519,"the act of turning, rotating an object",the act of troubling or annoying someone.,0.4,STS2013-gold,OnWN
5520,a company that provides public service commodities,a company that performs a public service; subject to government regulation.,3.8,STS2013-gold,OnWN
5521,get involved with or mixed up,get involved or mixed-up with.,4.6,STS2013-gold,OnWN
5522,gradual decrease in the strength of a signal,a gradual decline (in size or strength or power or number).,2.6,STS2013-gold,OnWN
5523,a fast rate or occurrence of something,a brief experience of something.,3.2,STS2013-gold,OnWN
5524,the act of lifting something,the act of chipping something.,0.0,STS2013-gold,OnWN
5525,(cause to) become even or level,make even or more even.,4.4,STS2013-gold,OnWN
5526,Declare invalid; take away the legal force of or render ineffective.,take away the legal force of or render ineffective.,4.2,STS2013-gold,OnWN
5527,Give an incentive or reason for action.,give an interpretation or rendition of.,0.2,STS2013-gold,OnWN
5528,hit or return before it touches the ground,hit before it touches the ground.,4.0,STS2013-gold,OnWN
5529,the act or means of getting rid of something.,the state of being unsure of something.,0.0,STS2013-gold,OnWN
5530,the act of accusing someone or something for being at fault,the action of putting something into operation.,0.0,STS2013-gold,OnWN
5531,Fix or set a physical object securely or depeply,fix or set securely or deeply.,3.8,STS2013-gold,OnWN
5532,"A storyline; the plan,scheme,or main story of a literary or dramatic work, true or fictional.",the story that is told in a novel or play or movie etc..,3.8,STS2013-gold,OnWN
5533,the activity of breaking or splintering something,the act of rending or ripping or splitting something.,4.2,STS2013-gold,OnWN
5534,a retail store with merchandise for sale,a mercantile establishment for the retail sale of goods or services.,4.2,STS2013-gold,OnWN
5535,twist a body part suddenly so as to sprain,twist suddenly so as to sprain.,4.0,STS2013-gold,OnWN
5536,resist immunologically foreign tissue or organ,resist immunologically the introduction of some foreign tissue or organ.,4.2,STS2013-gold,OnWN
5537,be a factor or play a role in something,the act of stopping something.,0.2,STS2013-gold,OnWN
5538,the trading price between sellers and buyers in a an open marketplace,the price at which buyers and sellers trade the item in an open marketplace.,4.8,STS2013-gold,OnWN
5539,request or demand something from someone,the act of damaging something or someone.,1.0,STS2013-gold,OnWN
5540,"the act of confining, preventing or blocking something",the act of forming or establishing something.,0.8,STS2013-gold,OnWN
5541,Ride on someone's shoulders or back; support on the back or shoulders.,support on the back and shoulders.,3.2,STS2013-gold,OnWN
5542,oppose with equal weight or force,contrast with equal weight or force.,3.8,STS2013-gold,OnWN
5543,the quality of acting with vigor and vitality,the quality of not being useful or convenient.,0.4,STS2013-gold,OnWN
5544,"the quality of being important, worthy of attention",the quality of being important and worthy of note.,4.8,STS2013-gold,OnWN
5545,"attachment, restraint or shackle between physical entities",a restraint that confines or restricts freedom (especially something used to tie down or restrain a prisoner).,3.6,STS2013-gold,OnWN
5546,"the reduction of the extent of something, e.g, its size, importance or quantity",change toward something smaller or lower.,4.4,STS2013-gold,OnWN
5547,a visual characterization of something,a chance to do something.,0.2,STS2013-gold,OnWN
5548,put in a particular place or abstract location,"cause to be in an appropriate place, state, or relation.",3.0,STS2013-gold,OnWN
5549,the action of extending outwards,the trait of wasting resources.,0.4,STS2013-gold,OnWN
5550,the consequence or aftermath of something,have flavor; taste of something.,0.2,STS2013-gold,OnWN
5551,(Cause to) increase in anxiety.,cause to run in panic.,3.6,STS2013-gold,OnWN
